CODIGO,ISBN,TITULO,PRECO,DATA_LANCAMENTO,ASSUNTO_CODIGO,EDITORA_CODIGO
1,9781406809787,Recently either tax,41.2,2015-07-06,10,16
2,9780350160814,Move worry economic,69.4,2024-03-15,11,18
3,9781752223145,Mention computer treat,124.24,2016-03-29,9,2
4,9780134202990,Read else score PM,74.17,2021-08-14,7,10
5,9781004647255,Stock city goal former,123.01,2019-05-09,1,17
6,9781788318334,Ever cup audience go,67.59,2022-03-31,11,11
7,9780652887266,Require how star any,119.64,2017-04-07,6,9
8,9781883020897,Dark road explain,148.78,2024-10-08,5,16
9,9780609990902,College bad matter use,130.28,2017-02-05,4,16
10,9780873779814,School bill know choose,72.95,2017-02-08,14,1
11,9780742190467,Major charge ask garden,35.73,2016-08-01,18,9
12,9781678064396,Throw now oil join bar,104.09,2020-10-24,17,12
13,9780019106023,It artist under total,68.45,2023-04-16,20,11
14,9780067100134,Him recent art,121.71,2023-08-03,11,2
15,9780175960026,Seat subject third in,127.42,2024-10-13,4,6
16,9780818181535,Seek similar style sit,119.22,2018-11-01,6,17
17,9780447916034,Deal parent service,113.44,2016-08-21,7,19
18,9781472110015,Tend show child appear,52.85,2018-09-26,14,12
19,9780649440238,Drive threat lay phone,86.02,2020-01-27,12,9
20,9780067723005,Shake program push I,68.92,2019-04-09,5,7
21,9781854039996,Tax even enter,71.94,2015-06-09,7,11
22,9780119455724,Rich gun buy sound west,51.45,2023-01-03,1,18
23,9780803736634,Any edge away who range,102.41,2020-01-06,4,15
24,9780702015977,Bag their identify,115.41,2018-10-29,15,14
25,9780507172790,She enter group,34.19,2016-04-06,17,17
26,9780895211743,Could money radio case,95.68,2023-08-13,14,1
27,9781271060696,American left size size,142.56,2023-08-22,9,14
28,9780842378017,Its benefit easy wrong,79.69,2018-08-04,2,13
29,9780970392374,Through TV at,82.3,2018-10-27,2,2
30,9780981168951,Us truth far area top,81.37,2020-10-14,5,3
31,9780092555633,In know pretty many,115.21,2020-07-25,19,4
32,9780864458605,Expect line everyone,41.67,2025-01-21,5,5
33,9781521188217,Enough break by,90.19,2020-10-24,14,15
34,9781999024376,Company matter wish Mrs,89.75,2023-09-13,18,8
35,9781242372469,This south go,63.78,2023-04-18,14,17
36,9780716728245,Cover practice lawyer,76.3,2020-10-20,13,16
37,9781637361764,Reveal do pattern,149.16,2015-10-29,16,16
38,9780769833743,Fish begin maybe rate,109.71,2016-09-19,5,9
39,9781716910029,Box able above staff,115.06,2024-09-28,17,3
40,9781925705843,Ready matter bed spring,45.14,2025-05-28,5,15
41,9780408953764,Put admit manage,85.29,2025-03-15,18,17
42,9780022048839,Really resource trouble,143.41,2022-03-27,14,5
43,9781780659138,They use soon education,104.42,2020-07-05,12,8
44,9781060733459,Theory interview blue,79.47,2016-03-13,13,7
45,9780833921727,Adult for any large,57.65,2018-10-29,17,12
